,key,value
1603,二十年,3
1604,狂喜,3
1605,并没有,40
1606,习惯,82
1607,遍,58
1608,想着,64
1609,活吊儿郎当,1
1610,更喜欢,62
1611,那段,143
1612,辛国隆,1
1613,在此,9
1614,少年,61
1615,道别,3
1616,这一次,39
1617,事件,5
1618,又一次,8
1619,合适,76
1620,真心话,9
1621,过去,229
1622,有些人,63
1623,怀念,122
1624,之后,239
1625,大明,2
1626,大方,12
1627,更加,37
1628,往事,19
1629,后悔,216
1630,饿,34
1631,魔性,2
1632,泰库拉,21
1633,遇到,280
1634,女孩,156
1635,没有人,100
1636,关注,69
1637,回关,3
1638,晚,114
1639,就问,35
1640,昨夜,2
1641,玫瑰花,24
1642,找到,146
1643,句,137
1644,哪有,29
1645,真话混着假话我看不透你,2
1646,30天,3
1647,高考,485
1648,上岸,454
1649,单人版,3
1650,粑粑,10
1651,一我第一次,1
1652,听是,8
1653,哔,3
1654,言子,12
1655,纯享版,3
1656,那一刻,94
1657,娶,37
1658,半死不活,31
1659,语调,3
1660,搞不懂爱,1
1661,排行,8
1662,第一,303
1663,懂得,58
1664,疲惫,39
1665,轻松,32
1666,留句,5
1667,能够,96
1668,急眼,4
